state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch,mrall_10k,mralln_10k,mra1517_10k,mra1517n_10k,mra1820_10k,mra1820n_10k,mra2124_10k,mra2124n_10k,mraidall_10k
1,1982,1.3700000047683716,14.399999618530273,10544.15234375,50.692039489746094,1.5393794775009155,30.35569953918457,0.3282899856567383,19,25.00629997253418,0.21157200634479523,7233.88720703125,0,0,0,839,2.1283600653987378e-4,146,3.703699985635467e-5,99,53,2.5358900893479586e-4,9,4.306199843995273e-5,99,34,4.468447878025472e-4,1.5346184954978526e-4,120,4.1379299364052713e-4,32,1.103449976653792e-4,309.43798828125,7.849800022086129e-5,3942002.25,208999.59375,221553.4375,290000.0625,28516,9.699999809265137,57.79999923706055,-0.0221247598528862,2.128360065398738,0.3703699985635467,2.5358900893479586,0.4306199843995273,4.468447878025472,1.5346184954978526,4.137929936405271,1.103449976653792,0.7849800022086129
1,1983,1.3600000143051147,13.699999809265137,10732.7978515625,52.147029876708984,1.7889907360076904,30.333599090576172,0.3434099853038788,19,22.994199752807617,0.21076799929141998,7836.34765625,0,0,0,930,2.3484800476580858e-4,154,3.888889841618948e-5,98,71,3.5148501046933234e-4,8,3.9604001358384266e-5,108,26,4.928683047182858e-4,1.1865348642459139e-4,124,4.275859973859042e-4,35,1.2068999785697088e-4,341.8340148925781,8.632199751446024e-5,3960008,202000.078125,219125.46875,290000.15625,31032,9.600000381469727,57.900001525878906,0.04655825346708298,2.348480047658086,0.38888898416189477,3.5148501046933234,0.39604001358384266,4.928683047182858,1.186534864245914,4.275859973859042,1.2068999785697088,0.8632199751446024
1,1984,1.3200000524520874,11.100000381469727,11108.791015625,54.168087005615234,1.7142856121063232,30.311500549316406,0.35923999547958374,19,24.042600631713867,0.21148400008678436,8262.990234375,0,0,0,932,2.336430043214932e-4,165,4.136380084673874e-5,94,49,2.4873099755495787e-4,7,3.553300120984204e-5,103,25,4.7525865375064313e-4,1.153540433733724e-4,118,4.0972200804390013e-4,34,1.1805599933722988e-4,304.87200927734375,7.642799755558372e-5,3988991.75,196999.96875,216724.09375,288000.15625,32961,7.5,59.500003814697266,0.06279783695936203,2.336430043214932,0.4136380084673874,2.4873099755495787,0.3553300120984204,4.752586537506431,1.153540433733724,4.097220080439001,1.1805599933722988,0.7642799755558372
1,1985,1.2799999713897705,8.899999618530273,11332.626953125,55.27113723754883,1.6525423526763916,30.289499282836914,0.375789999961853,19.670000076293945,23.633899688720703,0.2111400067806244,8726.9169921875,0,0,0,882,2.1934800315648317e-4,146,3.630940045695752e-5,98,66,3.384620067663491e-4,9,4.615400030161254e-5,100,23,4.665288142859936e-4,1.073016319423914e-4,114,4.014080041088164e-4,45,1.584510027896613e-4,276.74200439453125,6.882400339236483e-5,4021007.75,194999.734375,214349.03125,284000.3125,35091,7.199999809265137,60.10000228881836,0.027489973232150078,2.1934800315648317,0.3630940045695752,3.3846200676634908,0.4615400030161254,4.665288142859936,1.073016319423914,4.014080041088164,1.5845100278966129,0.6882400339236483
1,1986,1.2300000190734863,9.800000190734863,11661.5068359375,56.514495849609375,1.6099070310592651,30.26740074157715,0.3931100070476532,21,23.46470069885254,0.2134000062942505,8952.853515625,0,0,0,1081,2.669139939825982e-4,172,4.246909884386696e-5,119,82,4.019610059913248e-4,10,4.902000000583939e-5,120,23,5.660377210006118e-4,1.0849056707229465e-4,119,4.524709947872907e-4,29,1.1026600259356201e-4,360.71600341796875,8.906600123737007e-5,4049993.75,203999.890625,212000,263000.28125,36259,7,60.70000076293945,0.03214294835925102,2.669139939825982,0.4246909884386696,4.019610059913248,0.4902000000583939,5.660377210006118,1.0849056707229465,4.524709947872907,1.10266002593562,0.8906600123737007
1,1987,1.1799999475479126,7.800000190734863,11944,57.50988006591797,1.559999942779541,30.24530029296875,0.4112299978733063,21,23.792400360107422,0.2155269980430603,9166.3017578125,0,0,0,1110,2.7185899671167135e-4,181,4.433009962667711e-5,114,94,4.5853698975406587e-4,11,5.3659001423511654e-5,127,31,6.076599820517004e-4,1.483249943703413e-4,138,5.328190163709223e-4,30,1.1583000014070421e-4,368.4209899902344,9.023299935506657e-5,4082999,204999.8125,208998.453125,258999.765625,37426,6.199999809265137,61.5,0.04897637292742729,2.7185899671167135,0.4433009962667711,4.585369897540659,0.5365900142351165,6.0765998205170035,1.483249943703413,5.328190163709223,1.1583000014070421,0.9023299935506657
1,1988,1.1699999570846558,7.199999809265137,12368.6240234375,56.834529876708984,1.50144362449646,30.22330093383789,0.43018001317977905,21,23.792400360107422,0.21832799911499023,9674.3232421875,0,0,0,1023,2.493910142220557e-4,139,3.3885899028973654e-5,89,66,3.283580008428544e-4,8,3.980100154876709e-5,105,24,5.44039998203516e-4,1.24351994600147e-4,123,4.676810058299452e-4,25,9.505700290901586e-5,298.3219909667969,7.27259975974448e-5,4101992.25,201000.125,193000.515625,262999.78125,39684,5.5,62.30000305175781,0.03539181873202324,2.4939101422205567,0.33885899028973654,3.283580008428544,0.3980100154876709,5.44039998203516,1.24351994600147,4.676810058299452,0.9505700290901586,0.727259975974448
4,1982,1.9700000286102295,9.899999618530273,12309.0693359375,56.89329528808594,0.21479713916778564,3.958899974822998,4.919099807739258,19,0,0.2090120017528534,6810.15673828125,0,1,1,724,2.499140100553632e-4,131,4.521919981925748e-5,76,40,2.8368798666633666e-4,7,4.964500112691894e-5,81,16,5.179733270779252e-4,1.0231571650365368e-4,96,4.403670027386397e-4,36,1.6513800073880702e-4,173.66799926757813,5.994800085318275e-5,2896996.5,140999.984375,156378.703125,217999.984375,19729,9.699999809265137,57.79999923706055,-0.043181899935007095,2.499140100553632,0.45219199819257483,2.8368798666633666,0.4964500112691894,5.179733270779252,1.0231571650365368,4.403670027386397,1.6513800073880702,0.5994800085318275
4,1983,1.899999976158142,9.100000381469727,12693.8076171875,57.55363082885742,0.20642203092575073,3.8901000022888184,4.8310699462890625,19,0,0.2038549929857254,6587.49462890625,0,1,1,675,2.267380041303113e-4,112,3.7621801311615855e-005,60,40,2.8777000261470675e-4,7,5.0359998567728326e-5,83,19,5.269123939797282e-4,1.206184970214963e-4,80,3.652969899121672e-4,17,7.762599852867424e-5,196.88999938964844,6.61369995214045e-5,2977004.25,138999.890625,157521.4375,218999.890625,19611,9.600000381469727,57.900001525878906,0.0762055367231369,2.267380041303113,0.37621801311615855,2.8777000261470675,0.5035999856772833,5.269123939797282,1.206184970214963,3.652969899121672,0.7762599852867424,0.661369995214045
4,1984,2.140000104904175,5,13265.93359375,60.37902069091797,0.2967033088207245,3.8225998878479004,4.744609832763672,19,0,0.20912699401378632,6709.97021484375,0,1,1,869,2.828779979608953e-4,149,4.8502599383937195e-5,81,51,3.695650084409863e-4,8,5.797099947812967e-5,118,34,7.436699816025794e-4,2.1427779574878514e-4,123,5.590909859165549e-4,33,1.500000071246177e-4,212.36099243164062,6.912800017744303e-5,3071995.75,138000.078125,158672.53125,219999.96875,20613,7.5,59.500003814697266,0.10621397197246552,2.828779979608953,0.48502599383937195,3.6956500844098628,0.5797099947812967,7.4366998160257936,2.1427779574878514,5.590909859165549,1.500000071246177,0.6912800017744303
4,1985,1.8600000143051147,6.5,13726.6953125,58.64853286743164,0.3813559412956238,3.756200075149536,4.659709930419922,21,0,0.18842799961566925,6771.2626953125,0,1,1,893,2.802009985316545e-4,150,4.7066201659617946e-5,75,48,3.428570053074509e-4,11,7.857099990360439e-5,100,26,6.25656801275909e-4,1.6267078171949834e-4,121,5.499999970197678e-4,30,1.3636400399263948e-4,225.82400512695312,7.08579973434098e-5,3186998,140000.0625,159832.03125,220000,21580,7.199999809265137,60.10000228881836,0.07819560170173645,2.8020099853165448,0.47066201659617946,3.428570053074509,0.7857099990360439,6.2565680127590895,1.6267078171949834,5.499999970197678,1.3636400399263948,0.7085799734340981
4,1986,1.7799999713897705,6.900000095367432,14107.3271484375,60.280181884765625,0.37151703238487244,3.690999984741211,4.576320171356201,21,0,0.17153899371623993,8129.0078125,0,1,1,1007,3.071060054935515e-4,173,5.275999865261838e-5,85,72,4.8648600932210684e-4,19,1.2837800022680312e-4,104,30,6.459627184085548e-4,1.8633539730217308e-4,130,6.161140045151114e-4,25,1.1848300346173346e-4,242.82699584960937,7.40550021873787e-5,3278998,148000.140625,161000,210999.90625,26655,7,60.70000076293945,0.06771251559257507,3.071060054935515,0.5275999865261838,4.864860093221068,1.2837800022680312,6.459627184085548,1.8633539730217308,6.1611400451511145,1.1848300346173346,0.740550021873787
4,1987,1.7200000286102295,6.199999809265137,14241,60.215057373046875,0.36000001430511475,3.6268999576568604,4.494420051574707,21,0,0.16872400045394897,9370.654296875,0,1,1,937,2.76728009339422e-4,172,5.0797400035662577e-5,87,50,3.355699882376939e-4,16,1.0738299897639081e-4,99,25,6.111100083217025e-4,1.5432099462486804e-4,121,5.70754986256361e-4,34,1.6037700697779655e-4,241.77999877929687,7.140600064303726e-5,3385996.25,149000.21875,162000.296875,211999.90625,31729,6.199999809265137,61.5,0.06411132216453552,2.76728009339422,0.5079740003566258,3.355699882376939,1.073829989763908,6.111100083217025,1.5432099462486804,5.70754986256361,1.6037700697779655,0.7140600064303726
