age,salary,hours,weeks,educ,immigrant,test_score
15,200,15,6,7,0,-1.0868942
15,100,5,6,7,0,-1.2553779
16,200,15,4,12,0,-1.6225437
16,2500,25,10,8,0,-1.5513771
16,2000,30,8,9,1,.86476475
16,100,2,6,8,0,-.73673928
16,1000,15,25,7,0,-1.8449037
16,140,15,8,9,0,-1.218309
17,874,12,8,10,1,.036528185
17,5200,20,52,10,1,.64033443
17,1248,26,52,10,1,-1.5509468
17,1725,30,12,11,1,.67233479
17,1149,25,16,10,1,-.33746377
17,128,8,4,9,0,-.92771602
17,3000,16,28,10,0,.57991558
17,2330,4,52,10,0,-.46074685
17,800,30,5,10,1,-1.4674475
17,3000,45,52,9,0,.0029039672
17,4000,45,52,6,0,-.13995154
17,200,20,4,10,1,-.076791644
17,500,16,6,9,0,.72522008
17,3700,20,26,10,0,-.51212454
17,2000,15,35,10,0,-1.7909079
17,2450,20,20,9,0,-.89752346
17,600,25,10,10,0,.68796092
17,650,15,9,8,0,.12370553
17,800,20,8,8,0,-1.785767
17,3000,40,52,11,0,-.0113938
17,5200,8,52,10,1,.11917003
17,2000,15,12,11,1,.63924634
17,2330,11,52,8,0,.45770803
17,800,40,8,9,0,-1.676777
17,3000,45,10,10,0,-.44283158
18,4798,20,40,10,0,.59854817
18,2500,8,40,12,1,.53772372
18,972,25,9,8,0,-1.2438103
18,1625,10,52,13,1,-1.4976498
18,3000,15,15,13,0,.65294033
18,840,40,12,8,0,.6671738
18,90,30,6,12,0,-.11072882
18,600,20,26,13,1,.42921853
18,4000,35,10,13,0,-.80604887
18,11000,40,16,12,0,1.2701629
18,800,15,20,12,1,.48656166
18,1919,20,14,12,1,.41800079
18,4750,20,45,13,0,.69443649
18,2000,20,26,12,0,-.023900986
18,2000,40,12,13,0,-1.353531
18,7300,22,20,10,1,1.3562926
18,600,6,50,10,0,-1.9582989
19,29000,55,52,12,0,.80904424
19,3680,20,45,12,1,-.90195864
19,3200,20,52,13,0,.15427576
19,4000,10,52,13,1,.020482639
19,15600,40,52,12,1,-.73602021
19,4800,20,30,13,1,-1.1218109
19,5200,20,26,12,0,.63856816
19,5000,10,15,13,0,.5463931
19,9400,15,52,13,1,-.69470143
19,270,20,4,12,1,.094798766
19,5900,30,28,12,1,.28262442
19,14000,25,52,12,0,.98237771
19,5250,40,20,10,0,.090097442
19,9520,40,26,12,0,-.67895508
20,3050,60,26,9,0,-.0022040836
20,1891,40,14,13,0,-1.4770062
20,1100,40,5,12,0,-.9986639
20,6200,20,52,13,1,-1.3709158
20,8400,25,52,12,0,.011700293
20,2889,8,48,13,0,-1.0099747
20,11846,50,30,13,0,.78635323
20,5200,35,26,12,0,-.25695384
20,300,10,2,13,1,-.78199011
20,11310,32,52,12,0,-.64388001
20,4000,20,50,15,1,-1.8939183
20,2600,40,30,12,0,-.19599728
20,9800,40,35,12,0,-.82479286
20,3000,40,16,13,0,-1.7114586
20,12000,40,52,9,0,-1.5107555
21,15000,40,52,12,1,-1.0195602
21,23000,48,52,8,1,-.59122425
21,8000,32,52,12,1,-.6750353
21,6453,30,30,13,1,-1.568439
21,15600,40,52,14,1,-1.4080955
21,20000,35,20,12,1,-.073639363
21,4400,40,52,13,1,-1.1384071
21,10000,35,52,12,1,-1.7783273
21,6400,40,52,6,0,-1.3807472
21,3100,38,8,13,1,.95215786
21,16900,50,50,12,0,.95386928
21,8528,40,52,7,1,-1.803629
21,3000,10,45,13,1,1.0768167
21,2600,20,26,13,1,.69140375
21,4900,40,52,12,1,.70724005
21,11000,40,28,16,1,-.80142248
21,9800,40,40,12,1,.20616305
21,16000,60,52,12,0,-.52959174
21,4000,40,14,13,0,-.5591864
