id_,year,getaid,welfare1,wrkstat,age,educ,sex,race,incom16,income,rincome,partyid
1,1986,2. NO,3. DISAGREE,1. Working full time,28,14,1. MALE,1. White,5. FAR ABOVE AVERAGE,"11. $20,000 to $24,999",11. $20000 - 24999,"3. Independent (neither, no response)"
2,1986,2. NO,2. AGREE,7. Keeping house,54,16,2. FEMALE,1. White,5. FAR ABOVE AVERAGE,"12. $25,000 or more",.i,6. Strong republican
3,1986,1. YES,2. AGREE,1. Working full time,44,16,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",6. $6000 TO 6999,0. Strong democrat
4,1986,2. NO,3. DISAGREE,5. Retired,77,14,2. FEMALE,2. Black,1. FAR BELOW AVERAGE,.r,.i,0. Strong democrat
5,1986,1. YES,2. AGREE,2. Working part time,44,14,2. FEMALE,2. Black,1. FAR BELOW AVERAGE,.d,.r,0. Strong democrat
6,1986,1. YES,1. STRONGLY AGREE,7. Keeping house,47,10,1. MALE,2. Black,3. AVERAGE,"5. $5,000 to $5,999",.i,1. Not very strong democrat
7,1986,1. YES,1. STRONGLY AGREE,7. Keeping house,19,10,2. FEMALE,1. White,3. AVERAGE,"9. $10,000 to $14,999",.i,5. Not very strong republican
8,1986,2. NO,3. DISAGREE,1. Working full time,36,18,1. MALE,1. White,3. AVERAGE,"8. $8,000 to $9,999",8. $8000 TO 9999,1. Not very strong democrat
9,1986,2. NO,3. DISAGREE,1. Working full time,27,17,2. FEMALE,1. White,3. AVERAGE,"8. $8,000 to $9,999",4. $4000 TO 4999,1. Not very strong democrat
10,1986,2. NO,1. STRONGLY AGREE,2. Working part time,51,18,1. MALE,1. White,2. BELOW AVERAGE,"11. $20,000 to $24,999",8. $8000 TO 9999,"4. Independent, close to republican"
11,1986,2. NO,2. AGREE,1. Working full time,24,12,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",.i,1. Not very strong democrat
12,1986,1. YES,4. STRONGLY DISAGREE,7. Keeping house,37,12,2. FEMALE,3. Other,2. BELOW AVERAGE,.r,.i,"2. Independent, close to democrat"
13,1986,2. NO,1. STRONGLY AGREE,1. Working full time,25,11,1. MALE,3. Other,2. BELOW AVERAGE,"9. $10,000 to $14,999",9. $10000 - 14999,0. Strong democrat
14,1986,1. YES,1. STRONGLY AGREE,7. Keeping house,36,6,2. FEMALE,1. White,3. AVERAGE,"8. $8,000 to $9,999",.i,0. Strong democrat
15,1986,2. NO,1. STRONGLY AGREE,7. Keeping house,66,8,2. FEMALE,3. Other,2. BELOW AVERAGE,"7. $7,000 to $7,999",.i,1. Not very strong democrat
16,1986,1. YES,3. DISAGREE,8. Other,63,10,1. MALE,1. White,1. FAR BELOW AVERAGE,"4. $4,000 to $4,999",.i,1. Not very strong democrat
17,1986,2. NO,1. STRONGLY AGREE,1. Working full time,36,11,1. MALE,2. Black,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,1. Not very strong democrat
18,1986,2. NO,1. STRONGLY AGREE,7. Keeping house,89. 89 or older,0. No formal schooling,2. FEMALE,1. White,3. AVERAGE,.d,.i,1. Not very strong democrat
19,1986,2. NO,1. STRONGLY AGREE,1. Working full time,45,12,2. FEMALE,2. Black,2. BELOW AVERAGE,.r,.r,1. Not very strong democrat
20,1986,2. NO,3. DISAGREE,7. Keeping house,35,14,2. FEMALE,2. Black,3. AVERAGE,"12. $25,000 or more",.i,1. Not very strong democrat
21,1986,2. NO,1. STRONGLY AGREE,5. Retired,71,7,2. FEMALE,1. White,.d,"6. $6,000 to $6,999",.i,0. Strong democrat
22,1986,2. NO,2. AGREE,1. Working full time,37,16,2. FEMALE,2. Black,3. AVERAGE,.r,.r,0. Strong democrat
23,1986,2. NO,2. AGREE,7. Keeping house,46,12,2. FEMALE,2. Black,3. AVERAGE,.d,.i,0. Strong democrat
24,1986,2. NO,1. STRONGLY AGREE,1. Working full time,27,16,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",11. $20000 - 24999,5. Not very strong republican
25,1986,2. NO,2. AGREE,7. Keeping house,31,12,2. FEMALE,1. White,.d,.r,.i,.n
26,1986,2. NO,1. STRONGLY AGREE,2. Working part time,67,12,1. MALE,1. White,4. ABOVE AVERAGE,"9. $10,000 to $14,999",5. $5000 TO 5999,5. Not very strong republican
27,1986,2. NO,1. STRONGLY AGREE,7. Keeping house,52,11,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,0. Strong democrat
