sheet,after,employees,NJ
1,0,16,1
1,1,20,1
2,0,10,1
2,1,7.5,1
3,0,6,1
3,1,4,1
4,0,10,1
4,1,5,1
5,0,5,1
5,1,10,1
6,0,2,1
6,1,5,1
9,0,12,1
9,1,0,1
10,0,15,1
10,1,15,1
11,0,10,1
11,1,12,1
12,0,6.5,1
12,1,15,1
13,0,0,1
13,1,2,1
14,0,10,1
14,1,4,1
15,0,3,1
15,1,5,1
16,0,6,1
16,1,7,1
17,0,0,1
17,1,4,1
18,0,15,1
18,1,8,1
19,0,4,1
19,1,6,1
21,0,5,1
21,1,0,1
22,0,3,1
22,1,3,1
23,0,0,1
23,1,14,1
24,0,15,1
24,1,15,1
26,0,30,1
26,1,10,1
27,0,4,1
27,1,0,1
28,0,0,1
28,1,6,1
29,0,0,1
29,1,0,1
30,0,6,1
30,1,4,1
31,0,4,1
31,1,6,1
32,0,10,1
32,1,2,1
33,0,12,1
33,1,6,1
34,0,5,1
34,1,11,1
35,0,25,1
35,1,13,1
36,0,8,1
36,1,10,1
37,0,21,0
37,1,6,0
38,0,15,1
38,1,10,1
39,0,1,0
39,1,5,0
40,0,10,0
40,1,7,0
41,0,0,0
41,1,0,0
42,0,17,0
42,1,0,0
45,0,0,0
45,1,11,0
46,0,30,0
46,1,3.5,0
47,0,25,0
47,1,0,0
48,0,6,0
48,1,7.5,0
49,0,6.5,0
49,1,0,0
50,0,6,0
50,1,4,0
51,0,0,0
51,1,6,0
56,0,20,0
56,1,0,0
57,0,30,0
57,1,7,0
58,0,8,0
58,1,0,0
59,0,0,0
59,1,0,0
60,0,10,0
60,1,10,0
61,0,6,0
61,1,28,0
63,0,26,1
63,1,15,1
64,0,20,1
64,1,13,1
66,0,15,1
66,1,26,1
67,0,5,1
67,1,4,1
68,0,30,1
68,1,13,1
69,0,0,1
69,1,0,1
70,0,35,1
70,1,10,1
71,0,0,1
71,1,29,1
73,0,0,1
73,1,14,1
75,0,3,1
75,1,4,1
76,0,8,1
76,1,25,1
77,0,6,1
77,1,4,1
78,0,13,1
78,1,10,1
79,0,6,1
79,1,8,1
80,0,4.5,1
80,1,11,1
81,0,25,1
81,1,0,1
82,0,8,1
82,1,25,1
84,0,4,1
84,1,12,1
85,0,7,1
85,1,0,1
86,0,11,1
86,1,9,1
87,0,0,1
87,1,0,1
88,0,3,1
88,1,4,1
89,0,10,1
89,1,6,1
91,0,8,1
91,1,0,1
92,0,4,1
92,1,14,1
93,0,2.5,1
93,1,5,1
94,0,0,1
94,1,2,1
95,0,18,1
95,1,0,1
96,0,0,1
96,1,0,1
97,0,0,1
97,1,2.5,1
98,0,0,1
98,1,3,1
99,0,60,1
99,1,30,1
101,0,4.5,1
101,1,10,1
102,0,12,1
102,1,0,1
104,0,40,1
104,1,11,1
105,0,0,1
105,1,0,1
106,0,0,1
106,1,2,1
107,0,6,1
107,1,13.5,1
108,0,13.5,1
108,1,11,1
111,0,17,1
111,1,20,1
112,0,4,1
112,1,5,1
113,0,0,1
113,1,2,1
114,0,0,1
114,1,20,1
115,0,20,1
115,1,6,1
116,0,4,1
116,1,22,1
