childgender,childage,enrolled,momage,mauza,momeduc,schoolpresent7,birth_tehsil,child_edu_time
1,5,1,45,371410212001,0,1,3714,120
2,8,1,45,371410212001,0,1,3714,150
1,10,1,45,371410212001,0,1,3714,150
2,7,1,45,371410212001,0,1,3714,150
1,6,1,28,371410212001,0,1,3714,120
1,8,1,28,371410212001,0,1,3714,120
2,12,1,28,371410212001,0,1,3714,120
1,14,1,36,371410212001,0,1,3714,120
1,8,1,36,371410212001,0,1,3714,120
1,11,1,36,371410212001,0,1,3714,120
1,7,1,33,371410212001,1,1,3714,120
2,10,1,33,371410212001,1,1,3714,120
2,12,0,38,371410212001,1,1,3714,0
1,13,0,38,371410212001,1,1,3714,0
1,11,1,38,371410212001,1,1,3714,120
1,9,1,44,331310508004,1,0,3321,180
1,12,1,44,331310508004,1,0,3321,240
1,14,1,44,331310508004,1,0,3321,180
1,8,1,29,331310508004,1,1,3331,180
2,10,1,29,331310508004,1,1,3331,180
1,6,1,29,331310508004,1,1,3331,180
1,14,1,47,331310508004,0,0,3313,240
1,12,1,47,331310508004,0,0,3313,240
1,10,1,47,331310508004,0,0,3313,150
2,13,1,47,331310508004,0,0,3313,240
2,15,1,50,331310508004,0,0,3313,180
2,11,1,50,331310508004,0,0,3313,180
1,12,1,45,331310508004,0,0,3323,60
2,9,1,45,331310508004,0,0,3323,120
2,5,1,45,331310508004,0,0,3323,120
2,8,1,42,331410105003,0,1,3314,120
1,14,1,42,331410105003,0,1,3314,120
1,11,1,42,331410105003,0,1,3314,120
1,5,0,42,331410105003,0,1,3314,0
2,14,0,40,331410105003,0,1,3314,240
1,5,0,40,331410105003,0,1,3314,0
2,8,1,35,331410105003,0,1,3314,120
1,12,1,35,331410105003,0,1,3314,180
1,10,1,35,331410105003,0,1,3314,180
2,5,1,35,331410105003,0,1,3314,60
1,13,0,40,331410105003,0,1,3314,0
1,14,1,40,331410105003,0,1,3314,240
1,12,1,40,331410105003,0,1,3314,120
2,10,1,40,331410105003,0,1,3314,120
2,8,1,48,331410105003,0,1,3314,180
2,6,1,48,331410105003,0,1,3314,180
1,10,1,48,331410105003,0,1,3314,120
1,14,0,48,331410105003,0,1,3314,0
2,5,1,34,331410105003,0,1,3314,180
1,10,0,34,331410105003,0,1,3314,0
1,13,1,34,331410105003,0,1,3314,180
1,6,1,34,331410105003,0,1,3314,180
2,5,1,35,331410105003,1,1,9995,180
2,12,1,35,331410105003,1,1,9995,180
1,7,1,35,331410105003,1,1,9995,180
2,10,1,35,331410105003,1,1,9995,180
1,13,0,32,331310505003,0,1,3543,0
1,10,1,37,331310505003,1,1,3312,150
1,8,1,37,331310505003,1,1,3312,150
1,12,1,37,331310505003,1,1,3312,150
1,6,0,37,331310505003,1,1,3312,0
1,14,1,37,331310505003,1,1,3312,210
2,15,1,44,331310505003,1,1,3315,180
2,12,1,44,331310505003,1,1,3315,150
2,5,1,30,331310505003,1,1,9995,90
2,7,1,30,331310505003,1,1,9995,90
2,10,1,30,331310505003,1,1,9995,150
2,12,0,30,331310505003,1,1,9995,0
2,9,1,50,331310505003,0,0,3313,180
1,12,1,50,331310505003,0,0,3313,300
2,14,0,50,331310505003,0,0,3313,0
1,15,0,40,331310505003,0,0,3451,0
2,12,1,40,331310505003,0,0,3451,240
2,9,1,40,331310505003,0,1,3313,150
1,5,1,40,331310505003,0,1,3313,60
1,7,1,40,331310505003,0,1,3313,60
1,6,1,40,331310505003,0,1,3313,120
1,11,0,40,331310505003,0,1,3313,0
2,9,1,50,331310505003,0,0,3313,240
2,13,0,50,331310505003,0,0,3313,0
2,15,0,50,331310505003,0,0,3313,0
1,5,1,28,331310505003,1,1,3652,180
2,8,1,35,331310505003,0,1,3315,240
1,6,1,35,331310505003,0,1,3315,180
2,11,1,35,331310401002,0,0,3544,300
2,15,1,35,331310401002,0,0,3544,180
1,13,0,36,331310401002,0,1,3315,0
2,10,0,36,331310401002,0,1,3315,0
2,12,1,38,331310401002,1,1,3313,180
2,8,1,38,331310401002,1,1,3313,180
1,8,0,40,331310401002,0,0,3541,0
1,12,1,40,331310401002,0,0,3541,120
1,10,1,40,331310401002,0,0,3541,120
1,14,0,40,331310401002,0,0,3541,0
2,10,1,32,371410212001,0,1,3714,150
2,5,0,32,371410212001,0,1,3714,0
1,9,1,32,371410212001,0,1,3714,150
1,8,1,32,371410212001,0,1,3714,150
2,10,1,29,371410212001,0,1,3714,60
1,12,1,29,371410212001,0,1,3714,60
1,13,0,29,371410212001,0,1,3714,0
1,10,1,38,371410212001,1,1,3714,120
2,8,1,38,371410212001,1,1,3714,120
1,10,1,34,371410212001,1,1,3714,120
1,10,1,29,331410310001,0,1,3314,150
2,8,1,29,331410310001,0,1,3314,150
2,12,1,42,331510403003,0,0,3541,60
2,15,1,42,331510403003,0,0,3541,135
2,5,0,42,331510403003,0,0,3541,0
1,5,0,38,331510403003,1,1,3314,0
1,9,1,38,331510403003,1,1,3314,180
1,7,1,38,331510403003,1,1,3314,180
2,14,0,37,331510403003,0,0,3315,60
2,12,1,37,331510403003,0,0,3315,120
1,13,1,33,331310301001,1,1,3313,300
1,9,1,33,331310301001,1,1,3313,300
1,14,1,33,331310301001,1,1,3313,300
2,5,1,33,331310301001,1,1,3313,300
2,12,1,33,331310301001,1,1,3313,300
2,6,0,46,331410604003,0,1,3314,0
1,9,1,46,331410604003,0,1,3314,180
1,12,1,46,331410604003,0,1,3314,180
1,8,0,46,331410604003,0,1,3314,0
1,8,1,32,331310402002,0,0,3113,120
1,10,1,32,331310402002,0,0,3113,120
2,6,0,32,331310402002,0,0,3113,0
2,9,1,32,331310402002,0,0,3113,120
2,13,1,32,331310402002,0,0,3113,180
1,8,1,30,331310402002,1,1,3313,60
2,10,1,30,331310402002,1,1,3313,90
2,6,1,30,331310402002,1,1,3313,90
1,9,1,30,331310402002,1,1,3313,285
1,6,1,30,331310402002,1,1,3313,255
1,11,1,30,331310402002,1,1,3313,105
1,12,0,42,331310402002,0,0,3333,0
1,14,0,42,331310402002,0,0,3333,0
1,7,1,42,331310402002,0,0,3333,0
1,13,1,36,331310402002,1,1,9998,120
1,15,1,36,331310402002,1,1,9998,120
1,8,1,38,331310702003,0,0,3541,240
1,5,1,38,331310702003,0,0,3541,180
1,7,1,38,331310702003,0,0,3541,180
2,6,1,28,331310702003,1,1,9998,180
1,8,1,28,331310702003,1,1,9998,180
2,15,1,38,331310702003,1,1,3313,360
1,10,1,38,331310702003,1,1,3313,240
1,7,1,38,331310702003,1,1,3313,180
1,12,1,35,331310702003,0,1,9998,240
2,15,1,35,331310702003,0,1,9998,360
1,9,1,35,331310702003,0,1,9998,180
2,7,1,35,331310702003,0,1,9998,180
2,10,1,35,331310702003,0,1,9998,180
1,5,0,35,331310702003,0,1,9998,0
2,8,1,30,331310702003,0,1,9995,240
2,11,1,30,331310702003,0,1,9995,300
1,13,1,35,331310702003,1,1,3313,240
2,10,1,35,331310702003,1,1,3313,120
1,11,1,35,331310702003,1,1,3313,240
2,11,1,38,331310702003,0,1,3313,240
2,15,1,38,331310702003,0,1,3313,300
2,9,1,38,331310702003,0,1,3313,240
1,11,1,32,331310702003,0,1,9998,240
1,5,0,32,331310702003,0,1,9998,0
1,6,1,32,331310702003,0,1,9998,240
1,8,1,44,331310702003,0,0,3542,120
2,11,1,44,331310702003,0,0,3542,180
2,10,1,44,331310702003,0,0,3542,120
2,13,0,44,331310702003,0,0,3542,0
2,8,1,43,331310702003,0,0,3313,120
1,13,1,43,331310702003,0,0,3313,180
2,6,1,43,331310702003,0,0,3313,120
2,10,1,42,331310702003,0,0,3331,180
2,8,1,42,331310702003,0,0,3331,180
1,14,1,42,331310702003,0,0,3331,180
2,12,1,42,331310702003,0,0,3331,180
2,7,1,42,331310702003,0,0,3331,180
2,11,1,42,331310702003,0,0,3331,180
1,15,1,48,331510201001,0,1,3315,150
1,12,0,48,331510201001,0,1,9998,0
1,10,0,48,331510201001,0,1,9998,0
1,9,1,50,331510201001,0,0,3314,270
